id,algorithm,interswap,seed,model,p,num_modes,theta,rho,bf,filename,t1,tf,num_temp,gibbs_step,tot_sim,burn_in,iterations,total_swap,direction,comments,Servers comments,count swaps,comments,other comments
1,PT_IIT_Z,200,1,bimodal,800,,3,,sq,,1,,5,,,,,,-1,repeated below to check convergence,Run in Probability s1,,,
2,PT_IIT_Z,200,2,bimodal,800,,3,,sq,,1,,5,,,,,,-1,,Run in Probability s2,,,
3,PT_A_IIT,100,33,bimodal,800,,3,,sq,,1,,5,,,,,,-1,repeated below to check convergence,Run in Probability s3,,,
4,PT_A_IIT,100,4,bimodal,800,,3,,sq,,1,,5,,,,,,-1,,Run in Probability s4 (DONE),,,
5,PT_IIT_Z,200,5,bimodal,1000,,3,,sq,,1,,5,,,,,,-1,repeated below to check convergence,OK,,,
6,PT_IIT_Z,200,6,bimodal,1000,,3,,sq,,1,,5,,,,,,-1,,OK,,,
7,PT_A_IIT,100,7,bimodal,1000,,3,,sq,,1,,5,,,,,,-1,repeated below to check convergence,,,,
8,PT_A_IIT,100,8,bimodal,1000,,3,,sq,,1,,5,,,,,,-1,,,,,
9,PT_IIT_Z,200,99,bimodal,2000,,3,,sq,,1,,5,,,,,,-1,repeated below to check convergence,,,,
10,PT_IIT_Z,200,10,bimodal,2000,,3,,sq,,1,,5,,,,,,-1,,,,,
11,PT_A_IIT,100,11,bimodal,2000,,3,,sq,,1,,5,,,,,,-1,repeated below to check convergence,,,,
12,PT_A_IIT,100,12,bimodal,2000,,3,,sq,,1,,5,,,,,,-1,,,,,
13,PT_IIT_Z,200,13,bimodal,3000,,3,,sq,,1,,5,,,,,,-1,repeated below to check convergence,,,,
14,PT_IIT_Z,200,14,bimodal,3000,,3,,sq,,1,,5,,,,,,-1,,,,,
15,PT_A_IIT,100,15,bimodal,3000,,3,,sq,,1,,5,,,,,,-1,repeated below to check convergence,,,,
16,PT_A_IIT,100,16,bimodal,3000,,3,,sq,,1,,5,,,,,,-1,,,,,
18,PT_IIT_Z,50,18,bimodal,1000,,3,,sq,,1,,15,100,,,,,-1,,Running in Probability t1,,,
19,PT_IIT_Z,50,19,bimodal,1000,,3,,sq,,1,,15,100,,,,,-1,,Running in Probability t1,,,
20,PT_IIT_Z,50,20,bimodal,2000,,3,,sq,,1,,15,200,,,,,-1,,Running in Probability t1,,,
