id,algorithm,bf,simulations,iterations,interswap,total_swap,states_visited,seed,file,burn_in,model,p,theta,num_modes,temps_rf,first_replica,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,start_state,reduc_constant,reduc_model,comments,Servers comments,
300,PT_A_IIT,sq,1,,100,16000,2,921,,30000,bimodal,1000,,,,,1.385,1.309,1.238,1.172,1.111,1.054,1,0.952,0.906,0.863,0.822,0.785,0.75,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 235-241,,
301,PT_A_IIT,sq,1,,100,16000,2,922,,30000,bimodal,1000,,,,,1.385,1.309,1.238,1.172,1.111,1.054,1,0.952,0.906,0.863,0.822,0.785,0.75,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 235-241,"Run in 2.5hr,10Cores, 3GB ram",
302,PT_IIT_Z,sq,1,1000000,50,,2,923,,20000,bimodal,800,,,,,1,0.915,0.837,0.766,0.701,0.641,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considering 242-251, eliminating temperatures higher than 1","Run in 4hr,10Cores, 2GB ram","Changes: Delete 6 of 13 temperatures, increase iterations (+100%)"
303,PT_IIT_Z,sq,1,1000000,50,,2,924,,20000,bimodal,800,,,,,1,0.915,0.837,0.766,0.701,0.641,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT_IIT_Z,sq,1,1000000,50,,2,925,,20000,bimodal,800,,,,,1,0.915,0.837,0.766,0.701,0.641,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT_IIT_Z,sq,1,1000000,50,,2,926,,20000,bimodal,800,,,,,1,0.915,0.837,0.766,0.701,0.641,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT_IIT_Z,sq,1,1000000,50,,2,927,,20000,bimodal,800,,,,,1,0.915,0.837,0.766,0.701,0.641,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT_IIT_Z,sq,1,1000000,50,,2,928,,20000,bimodal,800,,,,,1,0.915,0.837,0.766,0.701,0.641,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT_IIT_Z,sq,1,1000000,50,,2,929,,20000,bimodal,800,,,,,1,0.915,0.837,0.766,0.701,0.641,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT_IIT_Z,sq,1,1000000,50,,2,930,,20000,bimodal,800,,,,,1,0.915,0.837,0.766,0.701,0.641,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT_IIT_Z,sq,1,1000000,50,,2,931,,20000,bimodal,800,,,,,1,0.915,0.837,0.766,0.701,0.641,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT_IIT_Z,sq,1,1000000,50,,2,932,,20000,bimodal,800,,,,,1,0.915,0.837,0.766,0.701,0.641,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT_A_IIT,sq,1,,100,30000,2,933,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 252-261,"Run in 1.5hr, 3GB ram, 10 Cores","Delete 4 of 11 temperatures, duplicate total swaps"
313,PT_A_IIT,sq,1,,100,30000,2,934,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 252-261,,
314,PT_A_IIT,sq,1,,100,30000,2,935,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 252-261,,
315,PT_A_IIT,sq,1,,100,30000,2,936,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 252-261,,
316,PT_A_IIT,sq,1,,100,30000,2,937,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 252-261,,
317,PT_A_IIT,sq,1,,100,30000,2,938,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 252-261,,
318,PT_A_IIT,sq,1,,100,30000,2,939,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 252-261,,
319,PT_A_IIT,sq,1,,100,30000,2,940,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 252-261,,
320,PT_A_IIT,sq,1,,100,30000,2,941,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 252-261,,
321,PT_A_IIT,sq,1,,100,30000,2,942,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 252-261,,
322,PT_A_IIT,sq,1,,100,30000,2,943,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 262-271,"Run in 1hr, 2GB ram, 1","Changes: delete 4 of 11 temperatures, triplicate swaps"
323,PT_A_IIT,sq,1,,100,30000,2,944,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 262-271,,
324,PT_A_IIT,sq,1,,100,30000,2,945,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 262-271,,
325,PT_A_IIT,sq,1,,100,30000,2,946,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 262-271,,
326,PT_A_IIT,sq,1,,100,30000,2,947,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 262-271,,
327,PT_A_IIT,sq,1,,100,30000,2,948,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 262-271,,
328,PT_A_IIT,sq,1,,100,30000,2,949,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 262-271,,
329,PT_A_IIT,sq,1,,100,30000,2,950,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 262-271,,
330,PT_A_IIT,sq,1,,100,30000,2,951,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 262-271,,
331,PT_A_IIT,sq,1,,100,30000,2,952,,20000,bimodal,800,,,,,1,0.951,0.918,0.881,0.846,0.812,0.78,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 262-271,,
332,PT_IIT_Z,sq,1,1200000,50,,2,953,,25000,bimodal,1000,,,,,1,0.92,0.851,0.787,0.728,0.673,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,Considering 272-281,"Run in 8hr,10Cores, 2GB ram",duplicate iterations delete 6 temperatures of 13
333,PT_IIT_Z,sq,1,1200000,50,,2,954,,25000,bimodal,1000,,,,,1,0.92,0.851,0.787,0.728,0.673,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,Considering 272-281,,
334,PT_IIT_Z,sq,1,1200000,50,,2,955,,25000,bimodal,1000,,,,,1,0.92,0.851,0.787,0.728,0.673,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,Considering 272-281,,
335,PT_IIT_Z,sq,1,1200000,50,,2,956,,25000,bimodal,1000,,,,,1,0.92,0.851,0.787,0.728,0.673,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,Considering 272-281,,
336,PT_IIT_Z,sq,1,1200000,50,,2,957,,25000,bimodal,1000,,,,,1,0.92,0.851,0.787,0.728,0.673,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,Considering 272-281,,
337,PT_IIT_Z,sq,1,1200000,50,,2,958,,25000,bimodal,1000,,,,,1,0.92,0.851,0.787,0.728,0.673,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,Considering 272-281,,
338,PT_IIT_Z,sq,1,1200000,50,,2,959,,25000,bimodal,1000,,,,,1,0.92,0.851,0.787,0.728,0.673,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,Considering 272-281,,
339,PT_IIT_Z,sq,1,1200000,50,,2,960,,25000,bimodal,1000,,,,,1,0.92,0.851,0.787,0.728,0.673,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,Considering 272-281,,
340,PT_IIT_Z,sq,1,1200000,50,,2,961,,25000,bimodal,1000,,,,,1,0.92,0.851,0.787,0.728,0.673,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,Considering 272-281,,
341,PT_IIT_Z,sq,1,1200000,50,,2,962,,25000,bimodal,1000,,,,,1,0.92,0.851,0.787,0.728,0.673,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,Considering 272-281,,
342,PT_A_IIT,sq,1,,100,32000,2,963,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 282-291,"Run in 3hr,10Cores, 3GB ram","Duplicate total swaps, delete 6 of 13 temperatures"
343,PT_A_IIT,sq,1,,100,32000,2,964,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 282-291,,
344,PT_A_IIT,sq,1,,100,32000,2,965,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 282-291,,
345,PT_A_IIT,sq,1,,100,32000,2,966,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 282-291,,
346,PT_A_IIT,sq,1,,100,32000,2,967,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 282-291,,
347,PT_A_IIT,sq,1,,100,32000,2,968,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 282-291,,
348,PT_A_IIT,sq,1,,100,32000,2,969,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 282-291,,
349,PT_A_IIT,sq,1,,100,32000,2,970,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 282-291,,
350,PT_A_IIT,sq,1,,100,32000,2,971,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 282-291,,
351,PT_A_IIT,sq,1,,100,32000,2,972,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,never,Considering 282-291,,
352,PT_A_IIT,sq,1,,100,32000,2,973,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 292-301,"Run in 2.5hr,10Cores, 3GB ram","Duplicate total swaps, delete 6 of 13 temperatures"
353,PT_A_IIT,sq,1,,100,32000,2,974,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 292-301,,
354,PT_A_IIT,sq,1,,100,32000,2,975,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 292-301,,
355,PT_A_IIT,sq,1,,100,32000,2,976,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 292-301,,
356,PT_A_IIT,sq,1,,100,32000,2,977,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 292-301,,
357,PT_A_IIT,sq,1,,100,32000,2,978,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 292-301,,
358,PT_A_IIT,sq,1,,100,32000,2,979,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 292-301,,
359,PT_A_IIT,sq,1,,100,32000,2,980,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 292-301,,
360,PT_A_IIT,sq,1,,100,32000,2,981,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 292-301,,
361,PT_A_IIT,sq,1,,100,32000,2,982,,30000,bimodal,1000,,,,,1,0.952,0.906,0.863,0.822,0.785,0.749,,,,,,,,,,,,,,,,,,,,,,,,-1,0,zero,Considering 292-301,,
362,PT_IIT_Z,sq,1,1500000,50,,2,983,,1000,bimodal,1000,,,,,1.60616590748202,1.455741504925,1.319405,1.195837,1.092478,1,0.917675,0.846553,0.78432,,,,,,,,,,,,,,,,,,,,,,,,,Run in Beluga 56485316,"Run in 3hr, 20 Cores, 1GB ram",
363,PT_IIT_Z,sq,1,1500000,50,,2,984,,1000,bimodal,1000,,,,,1.60616590748202,1.455741504925,1.319405,1.195837,1.092478,1,0.917675,0.846553,0.78432,,,,,,,,,,,,,,,,,,,,,,,,,Run in Beluga 56485316,"Run in 3hr, 20 Cores, 1GB ram",
364,PT_IIT_Z,sq,1,1500000,50,,2,985,,1000,bimodal,1000,,,,,1.60616590748202,1.455741504925,1.319405,1.195837,1.092478,1,0.917675,0.846553,0.78432,,,,,,,,,,,,,,,,,,,,,,,,,Run in Beluga 56485316,"Run in 3hr, 20 Cores, 1GB ram",
